Nama,Perusahaan,Lokasi,Pengalaman,Upah
Telemarketing,PT Domba Mas Indonesia,head office - Jakarta Barat,0 tahun,Gaji Kompetitif
Marketing,PT Arianda Mitra Sejahtera,Sumatera Utara - Medan,3 tahun,IDR 5.000.000 - 8.000.000
Marketing Executive (Specialty Food Ingredients),PT Matahari Raya Kimiatama,head office - Tangerang,Setidaknya 1 tahun,Gaji Kompetitif
SALES MARKETING,PT Bimasada Jaya Persada,head office - Surabaya,2 tahun,Gaji Kompetitif
Sales Marketing Executive (Freelance),PT Osell Selection Indonesia,head office - Jakarta Barat,Setidaknya 1 tahun,IDR 3.500.000 - 6.000.000
Sales & Marketing CCTV & Security System,PT Amatama Sentra Elektindo,head office - Jakarta Barat,Setidaknya 1 tahun,IDR 3.000.000 - 6.000.000
MARKETING IN-HOUSE PROPERTY,PT Karya Bintang Gemilang,head office - Bogor,Setidaknya 1 tahun,Gaji Kompetitif
TELEMARKETING,Holiday Call Centre - Cambodia,"2 Thnou St, Krong Preah Sihanouk, Cambodia - Prov. Apa saja",Setidaknya 1 tahun,IDR 5.000.000 - 8.000.000
Divisi Marketing,Holiday Call Centre - Cambodia,"2 Thnou St, Krong Preah Sihanouk, Cambodia - Prov. Apa saja",Setidaknya 1 tahun,IDR 5.000.000 - 8.000.000
Call Center Telemarketing,Holiday Call Centre - Cambodia,"2 Thnou St, Preah Sihanouk, Cambodia - Prov. Apa saja",Setidaknya 1 tahun,IDR 5.000.000 - 8.000.000
Telemarketing  Representative,Holiday Call Centre - Cambodia,"2 Thnou St, Preah Sihanouk, Cambodia - Prov. Apa saja",Setidaknya 1 tahun,IDR 5.000.000 - 8.000.000
Staff Marketing,Holiday Call Centre - Cambodia,"2 Thnou St, Krong Preah Sihanouk, Cambodia - Prov. Apa saja",Setidaknya 1 tahun,IDR 5.000.000 - 8.000.000
